Time,Distance
2023-04-20 06:17:25.978182,-1.62839
2023-04-20 06:17:25.979182,-1.69377
2023-04-20 06:17:25.980182,-1.75293
2023-04-20 06:17:25.981182,-1.80897
2023-04-20 06:17:25.982182,-1.86813
2023-04-20 06:17:25.983182,-1.92106
2023-04-20 06:17:25.984182,-1.97399
2023-04-20 06:17:25.985182,-2.02381
2023-04-20 06:17:25.986182,-2.07051
2023-04-20 06:17:25.987182,-2.11099
2023-04-20 06:17:25.988182,-2.15458
2023-04-20 06:17:25.989182,-2.19194
2023-04-20 06:17:25.990182,-2.22619
2023-04-20 06:17:25.991182,-2.25733
2023-04-20 06:17:25.992182,-2.28535
2023-04-20 06:17:25.993182,-2.31337
2023-04-20 06:17:25.994182,-2.33516
2023-04-20 06:17:25.995182,-2.35696
2023-04-20 06:17:25.996182,-2.37875
2023-04-20 06:17:25.997182,-2.39121
2023-04-20 06:17:25.998182,-2.40366
2023-04-20 06:17:25.999182,-2.413
2023-04-20 06:17:26.000182,-2.413
2023-04-20 06:17:26.001182,-2.413
2023-04-20 06:17:26.002182,-2.413
2023-04-20 06:17:26.003182,-2.413
2023-04-20 06:17:26.004182,-2.413
2023-04-20 06:17:26.005182,-2.40678
2023-04-20 06:17:26.006182,-2.39432
2023-04-20 06:17:26.007182,-2.37875
2023-04-20 06:17:26.008182,-2.36007
2023-04-20 06:17:26.009182,-2.33828
2023-04-20 06:17:26.010182,-2.31648
2023-04-20 06:17:26.011182,-2.28846
2023-04-20 06:17:26.012182,-2.26044
2023-04-20 06:17:26.013182,-2.2293
2023-04-20 06:17:26.014182,-2.19505
2023-04-20 06:17:26.015182,-2.15769
2023-04-20 06:17:26.016182,-2.11722
2023-04-20 06:17:26.017182,-2.07363
2023-04-20 06:17:26.018182,-2.03004
2023-04-20 06:17:26.019182,-1.98022
2023-04-20 06:17:26.020182,-1.92729
2023-04-20 06:17:26.021182,-1.87436
2023-04-20 06:17:26.022182,-1.8152
2023-04-20 06:17:26.023182,-1.75916
2023-04-20 06:17:26.024182,-1.69689
2023-04-20 06:17:26.025182,-1.6315
2023-04-20 06:17:26.026182,-1.56923
2023-04-20 06:17:26.027182,-1.50696
2023-04-20 06:17:26.028182,-1.43535
2023-04-20 06:17:26.029182,-1.36996
2023-04-20 06:17:26.030182,-1.29835
2023-04-20 06:17:26.031182,-1.22363
2023-04-20 06:17:26.032182,-1.1489
2023-04-20 06:17:26.033182,-1.07106
2023-04-20 06:17:26.034182,-0.99322
2023-04-20 06:17:26.035182,-0.91227
2023-04-20 06:17:26.036182,-0.83443
2023-04-20 06:17:26.037182,-0.75037
2023-04-20 06:17:26.038182,-0.67253
2023-04-20 06:17:26.039182,-0.58535
2023-04-20 06:17:26.040182,-0.5044
2023-04-20 06:17:26.041182,-0.4141
2023-04-20 06:17:26.042182,-0.32692
2023-04-20 06:17:26.043182,-0.23663
2023-04-20 06:17:26.044182,-0.14634
2023-04-20 06:17:26.045182,-0.05293
2023-04-20 06:17:26.046182,0.03736
2023-04-20 06:17:26.047182,0.13388
2023-04-20 06:17:26.048182,0.22729
2023-04-20 06:17:26.049182,0.3207
2023-04-20 06:17:26.050182,0.41722
2023-04-20 06:17:26.051182,0.51062
2023-04-20 06:17:26.052182,0.60403
2023-04-20 06:17:26.053182,0.69432
2023-04-20 06:17:26.054182,0.78773
2023-04-20 06:17:26.055182,0.87491
2023-04-20 06:17:26.056182,0.9652
2023-04-20 06:17:26.057182,1.05549
2023-04-20 06:17:26.058182,1.14267
2023-04-20 06:17:26.059182,1.22985
2023-04-20 06:17:26.060182,1.31392
2023-04-20 06:17:26.061182,1.39799
2023-04-20 06:17:26.062182,1.47894
2023-04-20 06:17:26.063182,1.55989
2023-04-20 06:17:26.064182,1.64084
2023-04-20 06:17:26.065182,1.72179
2023-04-20 06:17:26.066182,1.80586
2023-04-20 06:17:26.067182,1.8837
2023-04-20 06:17:26.068182,1.96465
2023-04-20 06:17:26.069182,2.0456
2023-04-20 06:17:26.070182,2.12344
2023-04-20 06:17:26.071182,2.19817
2023-04-20 06:17:26.072182,2.27289
2023-04-20 06:17:26.073182,2.34762
2023-04-20 06:17:26.074182,2.41923
2023-04-20 06:17:26.075182,2.49396
2023-04-20 06:17:26.076182,2.56245
2023-04-20 06:17:26.077182,2.63095
2023-04-20 06:17:26.078182,2.69634
2023-04-20 06:17:26.079182,2.76484
2023-04-20 06:17:26.080182,2.82711
2023-04-20 06:17:26.081182,2.88626
2023-04-20 06:17:26.082182,2.94853
2023-04-20 06:17:26.083182,3.00147
2023-04-20 06:17:26.084182,3.05128
2023-04-20 06:17:26.085182,3.1011
2023-04-20 06:17:26.086182,3.15092
2023-04-20 06:17:26.087182,3.19762
2023-04-20 06:17:26.088182,3.2381
2023-04-20 06:17:26.089182,3.27546
2023-04-20 06:17:26.090182,3.30971
2023-04-20 06:17:26.091182,3.34396
2023-04-20 06:17:26.092182,3.37509
2023-04-20 06:17:26.093182,3.4
2023-04-20 06:17:26.094182,3.42179
2023-04-20 06:17:26.095182,3.44048
2023-04-20 06:17:26.096182,3.45916
2023-04-20 06:17:26.097182,3.47161
2023-04-20 06:17:26.098182,3.48407
2023-04-20 06:17:26.099182,3.49341
2023-04-20 06:17:26.100182,3.49341
2023-04-20 06:17:26.101182,3.49341
2023-04-20 06:17:26.102182,3.49341
2023-04-20 06:17:26.103182,3.49341
2023-04-20 06:17:26.104182,3.49029
2023-04-20 06:17:26.105182,3.47784
2023-04-20 06:17:26.106182,3.46538
2023-04-20 06:17:26.107182,3.45293
2023-04-20 06:17:26.108182,3.43425
2023-04-20 06:17:26.109182,3.41245
2023-04-20 06:17:26.110182,3.38755
2023-04-20 06:17:26.111182,3.35952
2023-04-20 06:17:26.112182,3.32839
2023-04-20 06:17:26.113182,3.29414
2023-04-20 06:17:26.114182,3.25989
2023-04-20 06:17:26.115182,3.21941
2023-04-20 06:17:26.116182,3.17894
2023-04-20 06:17:26.117182,3.13223
2023-04-20 06:17:26.118182,3.08242
2023-04-20 06:17:26.119182,3.0326
2023-04-20 06:17:26.120182,2.97967
2023-04-20 06:17:26.121182,2.92051
