# Data acquisition time,Epoch time (ms),Distance
2023-04-20 06:13:08.019182,1681938788019.18,9.89176
2023-04-20 06:13:08.020182,1681938788020.18,9.88242
2023-04-20 06:13:08.021182,1681938788021.18,9.87308
2023-04-20 06:13:08.022182,1681938788022.18,9.86062
2023-04-20 06:13:08.023182,1681938788023.18,9.84817
2023-04-20 06:13:08.024182,1681938788024.18,9.8326
2023-04-20 06:13:08.025182,1681938788025.18,9.82015
2023-04-20 06:13:08.026182,1681938788026.18,9.80458
2023-04-20 06:13:08.027182,1681938788027.18,9.7859
2023-04-20 06:13:08.028182,1681938788028.18,9.76722
2023-04-20 06:13:08.029182,1681938788029.18,9.74542
2023-04-20 06:13:08.030182,1681938788030.18,9.72363
2023-04-20 06:13:08.031182,1681938788031.18,9.70183
2023-04-20 06:13:08.032182,1681938788032.18,9.67381
2023-04-20 06:13:08.033182,1681938788033.18,9.64579
2023-04-20 06:13:08.034182,1681938788034.18,9.61777
2023-04-20 06:13:08.035182,1681938788035.18,9.58974
2023-04-20 06:13:08.036182,1681938788036.18,9.55861
2023-04-20 06:13:08.037182,1681938788037.18,9.52436
2023-04-20 06:13:08.038182,1681938788038.18,9.49322
2023-04-20 06:13:08.039182,1681938788039.18,9.45897
2023-04-20 06:13:08.040182,1681938788040.18,9.42161
2023-04-20 06:13:08.041182,1681938788041.18,9.38425
2023-04-20 06:13:08.042182,1681938788042.18,9.34689
2023-04-20 06:13:08.043182,1681938788043.18,9.30952
2023-04-20 06:13:08.044182,1681938788044.18,9.26905
2023-04-20 06:13:08.045182,1681938788045.18,9.22546
2023-04-20 06:13:08.046182,1681938788046.18,9.18187
2023-04-20 06:13:08.047182,1681938788047.18,9.14139
2023-04-20 06:13:08.048182,1681938788048.18,9.0978
2023-04-20 06:13:08.049182,1681938788049.18,9.0511
2023-04-20 06:13:08.050182,1681938788050.18,9.00128
2023-04-20 06:13:08.051182,1681938788051.18,8.95147
2023-04-20 06:13:08.052182,1681938788052.18,8.90476
2023-04-20 06:13:08.053182,1681938788053.18,8.85183
2023-04-20 06:13:08.054182,1681938788054.18,8.80201
2023-04-20 06:13:08.055182,1681938788055.18,8.74597
2023-04-20 06:13:08.056182,1681938788056.18,8.69304
2023-04-20 06:13:08.057182,1681938788057.18,8.63388
2023-04-20 06:13:08.058182,1681938788058.18,8.57784
2023-04-20 06:13:08.059182,1681938788059.18,8.51557
2023-04-20 06:13:08.060182,1681938788060.18,8.45641
2023-04-20 06:13:08.061182,1681938788061.18,8.39414
2023-04-20 06:13:08.062182,1681938788062.18,8.32564
2023-04-20 06:13:08.063182,1681938788063.18,8.26026
2023-04-20 06:13:08.064182,1681938788064.18,8.19176
2023-04-20 06:13:08.065182,1681938788065.18,8.12326
2023-04-20 06:13:08.066182,1681938788066.18,8.05165
2023-04-20 06:13:08.067182,1681938788067.18,7.98315
2023-04-20 06:13:08.068182,1681938788068.18,7.91465
2023-04-20 06:13:08.069182,1681938788069.18,7.83681
2023-04-20 06:13:08.070182,1681938788070.18,7.7652
2023-04-20 06:13:08.071182,1681938788071.18,7.69048
2023-04-20 06:13:08.072182,1681938788072.18,7.60952
2023-04-20 06:13:08.073182,1681938788073.18,7.53168
2023-04-20 06:13:08.074182,1681938788074.18,7.45696
2023-04-20 06:13:08.075182,1681938788075.18,7.36978
2023-04-20 06:13:08.076182,1681938788076.18,7.29194
2023-04-20 06:13:08.077182,1681938788077.18,7.21099
2023-04-20 06:13:08.078182,1681938788078.18,7.12381
2023-04-20 06:13:08.079182,1681938788079.18,7.03974
2023-04-20 06:13:08.080182,1681938788080.18,6.95568
2023-04-20 06:13:08.081182,1681938788081.18,6.86538
2023-04-20 06:13:08.082182,1681938788082.18,6.78132
2023-04-20 06:13:08.083182,1681938788083.18,6.69414
2023-04-20 06:13:08.084182,1681938788084.18,6.60696
2023-04-20 06:13:08.085182,1681938788085.18,6.52601
2023-04-20 06:13:08.086182,1681938788086.18,6.43883
2023-04-20 06:13:08.087182,1681938788087.18,6.35165
2023-04-20 06:13:08.088182,1681938788088.18,6.26136
2023-04-20 06:13:08.089182,1681938788089.18,6.17106
2023-04-20 06:13:08.090182,1681938788090.18,6.08077
2023-04-20 06:13:08.091182,1681938788091.18,5.98736
2023-04-20 06:13:08.092182,1681938788092.18,5.89396
2023-04-20 06:13:08.093182,1681938788093.18,5.80055
2023-04-20 06:13:08.094182,1681938788094.18,5.70092
2023-04-20 06:13:08.095182,1681938788095.18,5.6044
2023-04-20 06:13:08.096182,1681938788096.18,5.50476
2023-04-20 06:13:08.097182,1681938788097.18,5.40513
2023-04-20 06:13:08.098182,1681938788098.18,5.30861
2023-04-20 06:13:08.099182,1681938788099.18,5.20586
2023-04-20 06:13:08.100182,1681938788100.18,5.10934
2023-04-20 06:13:08.101182,1681938788101.18,5.00971
2023-04-20 06:13:08.102182,1681938788102.18,4.91007
2023-04-20 06:13:08.103182,1681938788103.18,4.80733
2023-04-20 06:13:08.104182,1681938788104.18,4.70147
2023-04-20 06:13:08.105182,1681938788105.18,4.59872
2023-04-20 06:13:08.106182,1681938788106.18,4.49286
2023-04-20 06:13:08.107182,1681938788107.18,4.39011
2023-04-20 06:13:08.108182,1681938788108.18,4.27802
2023-04-20 06:13:08.109182,1681938788109.18,4.17216
2023-04-20 06:13:08.110182,1681938788110.18,4.06319
2023-04-20 06:13:08.111182,1681938788111.18,3.95421
2023-04-20 06:13:08.112182,1681938788112.18,3.84835
2023-04-20 06:13:08.113182,1681938788113.18,3.74249
2023-04-20 06:13:08.114182,1681938788114.18,3.63352
2023-04-20 06:13:08.115182,1681938788115.18,3.52766
2023-04-20 06:13:08.116182,1681938788116.18,3.41868
2023-04-20 06:13:08.117182,1681938788117.18,3.30659
2023-04-20 06:13:08.118182,1681938788118.18,3.19762
2023-04-20 06:13:08.119182,1681938788119.18,3.0793
2023-04-20 06:13:08.120182,1681938788120.18,2.96722
2023-04-20 06:13:08.121182,1681938788121.18,2.85201
2023-04-20 06:13:08.122182,1681938788122.18,2.73681
2023-04-20 06:13:08.123182,1681938788123.18,2.62161
2023-04-20 06:13:08.124182,1681938788124.18,2.50952
2023-04-20 06:13:08.125182,1681938788125.18,2.40055
2023-04-20 06:13:08.126182,1681938788126.18,2.28846
2023-04-20 06:13:08.127182,1681938788127.18,2.17949
2023-04-20 06:13:08.128182,1681938788128.18,2.07051
2023-04-20 06:13:08.129182,1681938788129.18,1.96154
2023-04-20 06:13:08.130182,1681938788130.18,1.85256
2023-04-20 06:13:08.131182,1681938788131.18,1.74359
2023-04-20 06:13:08.132182,1681938788132.18,1.63773
2023-04-20 06:13:08.133182,1681938788133.18,1.53498
2023-04-20 06:13:08.134182,1681938788134.18,1.42912
2023-04-20 06:13:08.135182,1681938788135.18,1.32637
2023-04-20 06:13:08.136182,1681938788136.18,1.22051
2023-04-20 06:13:08.137182,1681938788137.18,1.11777
2023-04-20 06:13:08.138182,1681938788138.18,1.00879
2023-04-20 06:13:08.139182,1681938788139.18,0.90293
2023-04-20 06:13:08.140182,1681938788140.18,0.79707
2023-04-20 06:13:08.141182,1681938788141.18,0.6881
2023-04-20 06:13:08.142182,1681938788142.18,0.58223
2023-04-20 06:13:08.143182,1681938788143.18,0.47015
2023-04-20 06:13:08.144182,1681938788144.18,0.36117
2023-04-20 06:13:08.145182,1681938788145.18,0.24597
2023-04-20 06:13:08.146182,1681938788146.18,0.13388
2023-04-20 06:13:08.147182,1681938788147.18,0.01868
2023-04-20 06:13:08.148182,1681938788148.18,-0.09652
2023-04-20 06:13:08.149182,1681938788149.18,-0.20238
2023-04-20 06:13:08.150182,1681938788150.18,-0.31447
2023-04-20 06:13:08.151182,1681938788151.18,-0.42656
2023-04-20 06:13:08.152182,1681938788152.18,-0.53242
2023-04-20 06:13:08.153182,1681938788153.18,-0.64139
2023-04-20 06:13:08.154182,1681938788154.18,-0.74414
2023-04-20 06:13:08.155182,1681938788155.18,-0.85623
2023-04-20 06:13:08.156182,1681938788156.18,-0.96209
2023-04-20 06:13:08.157182,1681938788157.18,-1.06795
2023-04-20 06:13:08.158182,1681938788158.18,-1.17692
2023-04-20 06:13:08.159182,1681938788159.18,-1.28278
2023-04-20 06:13:08.160182,1681938788160.18,-1.39176
2023-04-20 06:13:08.161182,1681938788161.18,-1.49762
2023-04-20 06:13:08.162182,1681938788162.18,-1.60348
2023-04-20 06:13:08.163182,1681938788163.18,-1.70934
2023-04-20 06:13:08.164182,1681938788164.18,-1.81832
2023-04-20 06:13:08.165182,1681938788165.18,-1.92729
2023-04-20 06:13:08.166182,1681938788166.18,-2.03938
2023-04-20 06:13:08.167182,1681938788167.18,-2.14524
2023-04-20 06:13:08.168182,1681938788168.18,-2.2511
