time,cam1_timestamp,cam1_data,cam2_timestamp,cam2_data,cam3_timestamp,cam3_data
1717386378.9408,1717386378.919004,"time: 1717386378.919004, id: 2, trans: (-0.8640510647802926, -0.10107446849603674, 1.2256350957111424), rot: (-0.888667436483683, 0.43193830508201375, 0.02784849154823351, 0.15140657005191174)",1717386378.90885,"time: 1717386378.90885, id: 2, trans: (-0.37585423575570204, -0.024325025034371194, 0.9991071567415379), rot: (-0.9618795411188064, 0.2684520669244962, 0.03234062988747947, 0.040930670645875314)",1717386378.9250848,"time: 1717386378.9250848, id: 2, trans: (0.022151681508674397, -0.14661864833435911, 0.9085196075152873), rot: (-0.9965692003004514, 0.04786244385565307, 0.029512850054061814, 0.06072896477274961)"
1717386378.951671,1717386378.9352016,"time: 1717386378.9352016, id: 2, trans: (-0.8643207910755863, -0.1033016692306951, 1.2253824639451252), rot: (-0.8886395834357199, 0.4318357124543935, 0.027363552705607176, 0.1519501371619124)",1717386378.9256186,"time: 1717386378.9256186, id: 2, trans: (-0.37585423575570204, -0.024325025034371194, 0.9991071567415379), rot: (-0.9618795411188064, 0.2684520669244962, 0.03234062988747947, 0.040930670645875314)",1717386378.9426217,"time: 1717386378.9426217, id: 2, trans: (0.022151681508674397, -0.14661864833435911, 0.9085196075152873), rot: (-0.9965692003004514, 0.04786244385565307, 0.029512850054061814, 0.06072896477274961)"
1717386378.9683666,1717386378.9517057,"time: 1717386378.9517057, id: 2, trans: (-0.8643207910755863, -0.1033016692306951, 1.2253824639451252), rot: (-0.8886395834357199, 0.4318357124543935, 0.027363552705607176, 0.1519501371619124)",1717386378.9422483,"time: 1717386378.9422483, id: 2, trans: (-0.37623115806448676, -0.02870484000324418, 0.9986431193876899), rot: (-0.9618455500230856, 0.2684392455636615, 0.031152404947104494, 0.042697037461772884)",1717386378.9575737,"time: 1717386378.9575737, id: 2, trans: (0.026335782487065324, -0.14602935670852785, 0.9084827072993693), rot: (-0.9967642344613116, 0.044433231314727754, 0.02945568314809982, 0.06015905238587307)"
1717386378.9868655,1717386378.9683156,"time: 1717386378.9683156, id: 2, trans: (-0.8650844219033963, -0.10358293453031589, 1.223469929899641), rot: (-0.8882918987484554, 0.4325424148426909, 0.026741137160392545, 0.15208377153163416)",1717386378.9753635,"time: 1717386378.9753635, id: 2, trans: (-0.3754569942298724, -0.02513021026444819, 0.99890409079224), rot: (-0.961948125269171, 0.2681736493776923, 0.03223028111614196, 0.04122992905344974)",1717386378.9757628,"time: 1717386378.9757628, id: 2, trans: (0.026335782487065324, -0.14602935670852785, 0.9084827072993693), rot: (-0.9967642344613116, 0.044433231314727754, 0.02945568314809982, 0.06015905238587307)"
1717386379.0016916,1717386378.985542,"time: 1717386378.985542, id: 2, trans: (-0.8650844219033963, -0.10358293453031589, 1.223469929899641), rot: (-0.8882918987484554, 0.4325424148426909, 0.026741137160392545, 0.15208377153163416)",1717386378.9609778,"time: 1717386378.9609778, id: 2, trans: (-0.37623115806448676, -0.02870484000324418, 0.9986431193876899), rot: (-0.9618455500230856, 0.2684392455636615, 0.031152404947104494, 0.042697037461772884)",1717386378.993076,"time: 1717386378.993076, id: 2, trans: (0.020149381900671975, -0.1519563288668327, 0.9071693516383119), rot: (-0.9963123392444779, 0.049427275946713575, 0.029099516166256546, 0.0638113251748768)"
1717386379.0187924,1717386379.001865,"time: 1717386379.001865, id: 2, trans: (-0.862974125051426, -0.10190367090187749, 1.22679877289618), rot: (-0.8890384757757847, 0.4311868759183945, 0.027955640679243866, 0.15135041717886838)",1717386379.0079904,"time: 1717386379.0079904, id: 2, trans: (-0.3742498415347543, -0.024615536489329244, 1.0006500587520917), rot: (-0.9622836059620529, 0.2670085934244815, 0.03249811652782245, 0.04074978719321751)",1717386379.0090141,"time: 1717386379.0090141, id: 2, trans: (0.020149381900671975, -0.1519563288668327, 0.9071693516383119), rot: (-0.9963123392444779, 0.049427275946713575, 0.029099516166256546, 0.0638113251748768)"
1717386379.0323417,1717386379.0180004,"time: 1717386379.0180004, id: 2, trans: (-0.862974125051426, -0.10190367090187749, 1.22679877289618), rot: (-0.8890384757757847, 0.4311868759183945, 0.027955640679243866, 0.15135041717886838)",1717386378.9928901,"time: 1717386378.9928901, id: 2, trans: (-0.3754569942298724, -0.02513021026444819, 0.99890409079224), rot: (-0.961948125269171, 0.2681736493776923, 0.03223028111614196, 0.04122992905344974)",1717386379.0248005,"time: 1717386379.0248005, id: 2, trans: (0.024740103248579413, -0.14767069754836962, 0.9082438251212737), rot: (-0.9966488280340153, 0.04571838019695731, 0.02935929272435084, 0.06114716037001457)"
1717386379.0507135,1717386379.0351217,"time: 1717386379.0351217, id: 2, trans: (-0.8640283506041146, -0.10191144279402745, 1.2267964530546178), rot: (-0.8888085462933221, 0.43155175199943313, 0.02802320375893129, 0.15164812373800357)",1717386379.0422482,"time: 1717386379.0422482, id: 2, trans: (-0.37504578987740084, -0.02314291691551333, 0.9990325909800257), rot: (-0.9620269623503415, 0.2680467510150912, 0.03226499122370023, 0.040175033572642)",1717386379.042036,"time: 1717386379.042036, id: 2, trans: (0.024740103248579413, -0.14767069754836962, 0.9082438251212737), rot: (-0.9966488280340153, 0.04571838019695731, 0.02935929272435084, 0.06114716037001457)"
1717386379.0695953,1717386379.052089,"time: 1717386379.052089, id: 2, trans: (-0.8640283506041146, -0.10191144279402745, 1.2267964530546178), rot: (-0.8888085462933221, 0.43155175199943313, 0.02802320375893129, 0.15164812373800357)",1717386379.0257516,"time: 1717386379.0257516, id: 2, trans: (-0.3742498415347543, -0.024615536489329244, 1.0006500587520917), rot: (-0.9622836059620529, 0.2670085934244815, 0.03249811652782245, 0.04074978719321751)",1717386379.0589821,"time: 1717386379.0589821, id: 2, trans: (0.024333937252161042, -0.14556911236824846, 0.9088437614085543), rot: (-0.9967018931240362, 0.046091560250520545, 0.029329965734970688, 0.06000547830506983)"
1717386379.0856764,1717386379.0685165,"time: 1717386379.0685165, id: 2, trans: (-0.8639120384997862, -0.10231694261878292, 1.2263633865770067), rot: (-0.8887938994482073, 0.43157613706667003, 0.02781868785568655, 0.15170221759832167)",1717386379.0593362,"time: 1717386379.0593362, id: 2, trans: (-0.37504578987740084, -0.02314291691551333, 0.9990325909800257), rot: (-0.9620269623503415, 0.2680467510150912, 0.03226499122370023, 0.040175033572642)",1717386379.0759919,"time: 1717386379.0759919, id: 2, trans: (0.024333937252161042, -0.14556911236824846, 0.9088437614085543), rot: (-0.9967018931240362, 0.046091560250520545, 0.029329965734970688, 0.06000547830506983)"
