time, id, x, y, z, qx, qy, qz, qw, image_error, object_error, fiducial_area
1717086193.582368124, 0, 0.109173, -0.0382201, 0.944091, 0.996417, -0.0214159, 0.0748185, 0.0331268, 0.000442588, 0.000562037, 0
1717086193.599235794, 0, 0.121355, -0.0483956, 0.940563, 0.996276, -0.0315963, 0.0747646, 0.0290701, 5.94958e-06, 7.54885e-06, 0
1717086193.615265736, 0, 0.121355, -0.0483956, 0.940563, 0.996276, -0.0315963, 0.0747646, 0.0290701, 5.94958e-06, 7.54885e-06, 0
1717086193.632407157, 0, 0.127234, -0.0210873, 0.940807, 0.995809, -0.0359494, 0.0718316, 0.0437286, 0.000631938, 0.000800997, 0
1717086193.648772467, 0, 0.127234, -0.0210873, 0.940807, 0.995809, -0.0359494, 0.0718316, 0.0437286, 0.000631938, 0.000800997, 0
1717086193.665529995, 0, 0.12158, -0.0149959, 0.942852, 0.995946, -0.0310543, 0.0706675, 0.0461978, 0.00115227, 0.00146411, 0
1717086193.682307590, 0, 0.12158, -0.0149959, 0.942852, 0.995946, -0.0310543, 0.0706675, 0.0461978, 0.00115227, 0.00146411, 0
1717086193.699353609, 0, 0.117835, -0.0180975, 0.943258, 0.996093, -0.028008, 0.0711147, 0.0442326, 0.000268666, 0.000341374, 0
1717086193.715656845, 0, 0.117835, -0.0180975, 0.943258, 0.996093, -0.028008, 0.0711147, 0.0442326, 0.000268666, 0.000341374, 0
1717086193.732465240, 0, 0.118994, -0.0178525, 0.942944, 0.996068, -0.0289656, 0.0709511, 0.0444498, 2.26537e-05, 2.87757e-05, 0
1717086193.749261146, 0, 0.118994, -0.0178525, 0.942944, 0.996068, -0.0289656, 0.0709511, 0.0444498, 2.26537e-05, 2.87757e-05, 0
1717086193.765481967, 0, 0.120836, -0.0108847, 0.94234, 0.995783, -0.0305984, 0.071673, 0.0484087, 0.00176218, 0.00223205, 0
1717086193.782774910, 0, 0.120836, -0.0108847, 0.94234, 0.995783, -0.0305984, 0.071673, 0.0484087, 0.00176218, 0.00223205, 0
1717086193.799276085, 0, 0.127795, -0.0227178, 0.940616, 0.995832, -0.0364256, 0.0717732, 0.042905, 0.00109173, 0.00138414, 0
1717086193.815687497, 0, 0.127795, -0.0227178, 0.940616, 0.995832, -0.0364256, 0.0717732, 0.042905, 0.00109173, 0.00138414, 0
1717086193.832595193, 0, 0.130044, -0.035147, 0.939388, 0.995947, -0.0384899, 0.0725344, 0.0367018, 3.3449e-06, 4.24228e-06, 0
1717086193.849632653, 0, 0.130044, -0.035147, 0.939388, 0.995947, -0.0384899, 0.0725344, 0.0367018, 3.3449e-06, 4.24228e-06, 0
1717086193.865760653, 0, 0.130488, -0.0247493, 0.940441, 0.995788, -0.0386013, 0.071706, 0.0421171, 0.000222032, 0.000281834, 0
1717086193.882459911, 0, 0.130488, -0.0247493, 0.940441, 0.995788, -0.0386013, 0.071706, 0.0421171, 0.000222032, 0.000281834, 0
1717086193.899371498, 0, 0.122073, -0.0200232, 0.942042, 0.995918, -0.0317247, 0.0722604, 0.0438103, 0.00143154, 0.0018147, 0
1717086193.916332923, 0, 0.122073, -0.0200232, 0.942042, 0.995918, -0.0317247, 0.0722604, 0.0438103, 0.00143154, 0.0018147, 0
1717086193.932543687, 0, 0.126678, -0.0307765, 0.94066, 0.99602, -0.035571, 0.072034, 0.0385928, 9.05915e-06, 1.14997e-05, 0
1717086193.949913781, 0, 0.126678, -0.0307765, 0.94066, 0.99602, -0.035571, 0.072034, 0.0385928, 9.05915e-06, 1.14997e-05, 0
1717086193.966142447, 0, 0.12892, -0.033085, 0.940017, 0.995964, -0.0374798, 0.0723503, 0.0376435, 1.04966e-05, 1.33202e-05, 0
1717086193.982520632, 0, 0.12892, -0.033085, 0.940017, 0.995964, -0.0374798, 0.0723503, 0.0376435, 1.04966e-05, 1.33202e-05, 0
1717086193.999266329, 0, 0.126116, -0.0274124, 0.940523, 0.99588, -0.0352599, 0.0731003, 0.0404395, 0.00162688, 0.00206006, 0
1717086194.015786351, 0, 0.126116, -0.0274124, 0.940523, 0.99588, -0.0352599, 0.0731003, 0.0404395, 0.00162688, 0.00206006, 0
1717086194.032884316, 0, 0.128483, -0.035571, 0.939919, 0.995943, -0.0372929, 0.0733479, 0.0364288, 0.000810151, 0.00102717, 0
1717086194.049685262, 0, 0.128483, -0.035571, 0.939919, 0.995943, -0.0372929, 0.0733479, 0.0364288, 0.000810151, 0.00102717, 0
1717086194.065988016, 0, 0.133167, -0.0438151, 0.938427, 0.995913, -0.041267, 0.0734248, 0.0326003, 3.85602e-06, 4.89251e-06, 0
1717086194.082558820, 0, 0.133167, -0.0438151, 0.938427, 0.995913, -0.041267, 0.0734248, 0.0326003, 3.85602e-06, 4.89251e-06, 0
1717086194.099397865, 0, 0.136204, -0.0375527, 0.938114, 0.995774, -0.0436188, 0.0723073, 0.0360873, 0.000184612, 0.000234241, 0
1717086194.115977494, 0, 0.136204, -0.0375527, 0.938114, 0.995774, -0.0436188, 0.0723073, 0.0360873, 0.000184612, 0.000234241, 0
1717086194.132654512, 0, 0.123588, -0.0294231, 0.940455, 0.99596, -0.0333062, 0.0736218, 0.0391771, 0.00152792, 0.00193272, 0
1717086194.152557661, 0, 0.123588, -0.0294231, 0.940455, 0.99596, -0.0333062, 0.0736218, 0.0391771, 0.00152792, 0.00193272, 0
1717086194.166402899, 0, 0.117109, -0.0399715, 0.942522, 0.996286, -0.0279528, 0.0744558, 0.0330043, 0.000562616, 0.000714465, 0
1717086194.182770807, 0, 0.117109, -0.0399715, 0.942522, 0.996286, -0.0279528, 0.0744558, 0.0330043, 0.000562616, 0.000714465, 0
1717086194.199448934, 0, 0.11004, -0.0467399, 0.943119, 0.996508, -0.02223, 0.0751541, 0.0287889, 2.61477e-05, 3.32033e-05, 0
1717086194.215917293, 0, 0.11004, -0.0467399, 0.943119, 0.996508, -0.02223, 0.0751541, 0.0287889, 2.61477e-05, 3.32033e-05, 0
