Time (s),Cam1 Fiducial ID,Camera Position X,Camera Position Y,Camera Position Z,Camera Rotation W,Camera Rotation X,Camera Rotation Y,Camera Rotation Z,World Position X,World Position Y,World Position Z,World Rotation W,World Rotation X,World Rotation Y,World Rotation Z,Displacement Position X,Displacement Position Y,Displacement Position Z,Displacement Rotation W,Displacement Rotation X,Displacement Rotation Y,Displacement Rotation Z
1721063029.548763,9,-0.05856947992219344,-0.007393889299381191,1.173889390732859,0.0006194382082505324,-0.10766816338673271,0.010948388245797176,0.9941264083023111,0.30779691066084586,-0.028225563085472527,1.1340042921561795,0.0006194382082505324,-0.10766816338673271,0.010948388245797176,0.9941264083023111,8.991773222107036e-05,3.5980648949857086e-06,-8.933219042206453e-05,-0.0006314811197326581,0.0007034431393752214,0.999997795921212,-0.001874713861712571
1721063029.564763,9,-0.0586055840832367,-0.007392026213488664,1.1736818039970947,0.00041710930572372746,-0.10860135671782803,0.01030012533895668,0.9940319304513694,0.3077878721020933,-0.02821990604387904,1.1337938508657088,0.00041710930572372746,-0.10860135671782803,0.01030012533895668,0.9940319304513694,5.381357117781316e-05,5.461150787512692e-06,-0.0002969189261863292,-0.00031115441902311824,0.002108010715147673,0.9999971573149163,-0.0010699700177553432
1721063029.5818565,9,-0.05864881864668782,-0.007392400405817638,1.1737490052013941,0.00021768910926101782,-0.10797720750472843,0.009667434281377509,0.9941063403808205,0.3078444548465713,-0.0282213781579344,1.1338502564971966,0.00021768910926101782,-0.10797720750472843,0.009667434281377509,0.9941063403808205,1.0579007726690959e-05,5.08695845853873e-06,-0.00022971772188684625,4.3045312197279044e-06,0.0010517185261947328,0.9999992964131817,-0.0005486736317651032
1721063029.5984418,9,-0.05871493002648285,-0.007395720480690108,1.1742391204718843,0.00031454076674944435,-0.10760732044355792,0.00885423980672768,0.9941539961638279,0.3080136615589531,-0.02823329686710272,1.1343148226912527,0.00031454076674944435,-0.10760732044355792,0.00885423980672768,0.9941539961638279,-5.553237206833844e-05,1.766883586068295e-06,0.0002603975486032972,-0.00014851361756329374,0.00037830448992631744,0.9999998981389089,0.00019634558878768024
1721063029.6149707,9,-0.05873939262258049,-0.007391765700867351,1.1740956758304038,0.0003430714195906358,-0.10740315866736168,0.0097186103807755,0.9941679900411908,0.30800694524316147,-0.02822672200936037,1.1341695571192525,0.0003430714195906358,-0.10740315866736168,0.0097186103807755,0.9941679900411908,-7.999496816597784e-05,5.721663408825468e-06,0.00011695290712276929,-0.00019388475514569255,0.00014999409663289963,0.9999997265100316,-0.0006977752752397724
1721063029.6326842,9,-0.05875527113548394,-0.0073915796216595785,1.1741002236388007,0.00048594494602235885,-0.10797380882898801,0.009363992140890858,0.994109519175657,0.30802342882967426,-0.02822657953242356,1.134170613260677,0.00048594494602235885,-0.10797380882898801,0.009363992140890858,0.994109519175657,-9.587348106943061e-05,5.907742616597864e-06,0.00012150071551975117,-0.0004195341745581633,0.0010130872905644026,0.9999993681994737,-0.00024747903272054485
1721063029.648301,9,-0.05873439609091314,-0.007392825218157944,1.1739804458447873,0.00029306435849819836,-0.10802491051756502,0.009523749875521612,0.99410252540131,0.3079774643127413,-0.02822573459583117,1.1340580495533796,0.00029306435849819836,-0.10802491051756502,0.009523749875521612,0.99410252540131,-7.499843649862864e-05,4.662146118231993e-06,1.7229215063530035e-06,-0.00011478611799466006,0.0011113565886835262,0.99999929680133,-0.0003976273699517089
1721063029.6659312,9,-0.058710438167994115,-0.007390368889718902,1.1741420835754213,0.00025317453560125757,-0.10732874265978691,0.007982396809573206,0.9941915098424943,0.30798856691277693,-0.028226223213453774,1.1342210933055132,0.00025317453560125757,-0.10732874265978691,0.007982396809573206,0.9941915098424943,-5.104051357960465e-05,7.118474557274088e-06,0.0001633606521402875,-5.134892573393383e-05,-0.00015659289685544982,0.9999994708519853,0.0010154495073265652
1721063029.6831214,9,-0.05866655146142843,-0.0073951315376188185,1.174012569562971,0.0002112767509013727,-0.10697253168883733,0.00898520134849241,0.9942213531115404,0.30791803754252717,-0.028228775417865323,1.1341038683105933,0.0002112767509013727,-0.10697253168883733,0.00898520134849241,0.9942213531115404,-7.153807013916824e-06,2.3558266573579095e-06,3.3846639690082725e-05,1.4585782845773842e-05,-0.0006102714317187012,0.9999998127914146,-4.2109028756738886e-05
1721063029.7000067,9,-0.058609931414503914,-0.007392715886016421,1.1738425155756915,0.0001918052904189676,-0.10911499516649377,0.008471216303265422,0.9939930178501708,0.30782642507492847,-0.02822345644425373,1.133949891403311,0.0001918052904189676,-0.10911499516649377,0.008471216303265422,0.9939930178501708,4.9466239910596344e-05,4.771478259755352e-06,-0.00013620734758945652,4.544757209161966e-05,0.002717624958080232,0.999995956262409,0.0008366050057166788
1721063029.7159042,9,-0.05857061411311871,-0.0073904844679173595,1.1738539661875025,0.00044487131356618257,-0.10878873405854358,0.009544638487774305,0.9940189702956336,0.3077904617703688,-0.02822152324694014,1.1339695089821396,0.00044487131356618257,-0.10878873405854358,0.009544638487774305,0.9940189702956336,8.878354129580185e-05,7.002896358816908e-06,-0.00012475673577849733,-0.00035470972912346704,0.0023208021146324444,0.9999972029395789,-0.00028665584129595486
1721063029.7337222,9,-0.05856511655588247,-0.00739254744677836,1.1741127235286908,0.0005488918212842652,-0.10770025677239317,0.010387147317222543,0.9941289959454656,0.3078403244343237,-0.028228221703635974,1.1342233961343495,0.0005488918212842652,-0.10770025677239317,0.010387147317222543,0.9941289959454656,9.428109853203831e-05,4.9399174978162486e-06,0.00013400060540980085,-0.0005195749975505246,0.0006927373523945463,0.9999987652136555,-0.0013113839814783014
1721063029.749051,9,-0.05855929644853742,-0.00739182774665013,1.1739106038182827,0.0005184088783975022,-0.10876659632027531,0.010323578044738577,0.9940135726002394,0.30779149334141725,-0.028223905007807023,1.1340272236096274,0.0005184088783975022,-0.10876659632027531,0.010323578044738577,0.9940135726002394,0.00010010120587709143,5.659617626046533e-06,-6.811910499826546e-05,-0.0004713394332785656,0.0023718763307001294,0.9999965092881482,-0.001064637651519353
1721063029.7659643,9,-0.05858325723171476,-0.007391217244200841,1.1738414961315387,0.0005498560048757076,-0.1080044924700961,0.010721807961539013,0.99409243538953,0.3078001503872983,-0.02822200312438384,1.1339546164294942,0.0005498560048757076,-0.1080044924700961,0.010721807961539013,0.99409243538953,7.614042269975252e-05,6.270120075335152e-06,-0.00013722679174232866,-0.0005212865813682197,0.001210567494286521,0.9999978644049455,-0.0015918455295288365
